Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
ray_2.0.0,python/ray/util/collective/tests/single_node_gpu_tests/test_allgather.py,138,94,116,5,53,35,70,58,105,315.1894245662864,3.30188679245283,2030.950958216399,112.83060878979994,615.0880044883951,43,41.21056815843771
ray_2.0.0,python/ray/util/collective/tests/single_node_gpu_tests/test_broadcast.py,79,41,68,3,32,18,36,35,54,164.75488750216346,1.6875,467.4059149191101,25.966995273283896,276.9812829150282,16,45.56467419108057
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/test_reducescatter.py,131,93,111,4,57,44,88,61,132,340.4747308073903,3.087719298245614,2417.243681162473,134.2913156201374,782.857328558301,39,42.759413653889304
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/test_gloo_group_isolation.py,46,33,33,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,7,75.46933446412363
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/test_allreduce.py,164,87,133,4,80,48,96,84,144,513.7542475909889,2.4,2209.184901312339,122.73249451735218,920.4937088801414,43,43.61079927089142
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/test_basic_apis.py,129,84,102,3,16,14,22,19,36,68.75488750216347,2.0625,315.4086178731862,17.52270099295479,152.92539048396907,29,52.9112540414456
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/test_sendrecv.py,91,57,78,5,28,18,36,33,54,146.2155782920497,3.2142857142857144,875.5626935743602,48.64237186524223,272.3972824453565,15,42.62854336378252
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/test_reduce.py,166,96,142,3,74,46,92,77,138,464.25443655870583,1.864864864864865,1612.7659848782935,89.59811027101631,864.8165426158964,47,38.546619846108555
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/test_allgather.py,141,100,121,5,53,35,70,58,105,315.1894245662864,3.30188679245283,2030.950958216399,112.83060878979994,615.0880044883951,43,40.4319063889639
ray_2.0.0,python/ray/util/collective/tests/single_node_cpu_tests/test_broadcast.py,93,50,79,3,34,19,38,37,57,177.72862410467502,1.6764705882352942,497.809234850837,27.656068602824277,296.93884184085016,17,43.33853279715626
