,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
33,yolov5_7.0,utils/segment/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
34,yolov5_7.0,utils/segment/dataloaders.py,331,174,249,11,80,76,144,91,220,543.807995395999,9.9,14173.9767263528,787.443151464042,1431.71482084371,44,49.2530921049722,1,1
35,yolov5_7.0,utils/segment/metrics.py,210,88,132,2,10,5,10,12,15,35.2192809488736,1,53.7744375108174,2.98746875060096,53.7744375108174,25,70.3763805343993,0,0
36,yolov5_7.0,utils/segment/plots.py,143,127,118,13,79,72,141,92,213,546.104395441825,11.6012658227848,16120.1757654518,895.565320302878,1389.51869664014,35,53.8197040558379,0,0
37,yolov5_7.0,utils/segment/general.py,137,81,65,10,74,48,90,84,138,492.718830005416,6.08108108108108,5364.36367506164,298.020204170091,882.139804343469,11,61.9064641894478,1,1
38,yolov5_7.0,utils/flask_rest_api/example_request.py,19,10,8,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
39,yolov5_7.0,utils/flask_rest_api/restapi.py,48,28,27,3,6,3,6,9,9,20.2646625064904,1.5,42.7939875194712,2.37744375108173,28.5293250129808,6,85.2828258712395,1,1
40,yolov5_7.0,utils/aws/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
41,yolov5_7.0,utils/aws/resume.py,40,28,28,8,17,10,20,25,30,93.4868683012558,4.70588235294118,655.603226791726,36.4224014884292,139.315685693242,7,81.3492527884938,0,0
42,yolov5_7.0,utils/loggers/__init__.py,404,283,293,14,120,84,151,134,235,882.129840381829,8.80833333333333,14626.5102038647,812.583900214703,1660.53095975758,142,30.7867732325441,4,1
43,yolov5_7.0,utils/loggers/wandb/sweep.py,41,29,29,4,8,4,8,12,12,32,2,86.0391000173078,4.77995000096154,43.0195500086539,4,78.288801149902,1,1
