,Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
104,jax_0.1.73,jax/scipy/stats/bernoulli.py,36,16,17,2,4,3,4,6,7,10.0,1.0,18.09473750504809,1.0052631947248942,18.09473750504809,1,93.1869161907969,0,0
105,jax_0.1.73,jax/scipy/stats/geom.py,33,16,16,2,4,3,4,6,7,10.0,1.0,18.09473750504809,1.0052631947248942,18.09473750504809,1,92.7535086534133,0,0
106,jax_0.1.73,jax/scipy/stats/uniform.py,33,12,14,1,1,1,1,2,2,0.0,0.5,1.0,0.0555555555555555,2.0,1,100.0,0,0
107,jax_0.1.73,jax/scipy/stats/cauchy.py,34,15,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
108,jax_0.1.73,jax/scipy/stats/expon.py,32,14,14,1,1,1,1,2,2,0.0,0.5,1.0,0.0555555555555555,2.0,1,99.38367921311516,0,0
109,jax_0.1.73,jax/scipy/stats/t.py,40,20,21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,0,0
110,jax_0.1.73,jax/scipy/stats/poisson.py,34,15,15,3,7,4,7,10,11,24.406371956566694,1.5,54.81181356564148,3.0451007536467487,36.541209043760986,1,90.65151852983244,0,0
111,jax_0.1.73,jax/scipy/stats/multivariate_normal.py,48,26,29,9,43,36,65,52,101,261.858709465171,6.8023255813953485,3916.400938911238,217.5778299395132,575.7444115322504,5,77.88316925387986,0,0
112,jax_0.1.73,jax/scipy/stats/pareto.py,34,15,15,1,1,1,1,2,2,0.0,0.5,1.0,0.0555555555555555,2.0,1,99.48632904559491,0,0
113,jax_0.1.73,jax/lax/lax_control_flow.py,2394,1244,1535,18,684,419,813,702,1232,6516.869770207915,10.697368421052632,124613.25038279702,6922.958354599835,11648.96313541522,315,0.0,23,1
114,jax_0.1.73,jax/lax/lax_fft.py,147,101,102,10,62,40,72,72,112,402.37945219286,5.806451612903226,4012.441549325066,222.9134194069481,691.031600161539,14,59.81957426427575,3,1
115,jax_0.1.73,jax/lax/__init__.py,338,5,323,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,4,1
116,jax_0.1.73,jax/lax/lax.py,5958,3439,4115,25,1437,961,1815,1462,2776,15188.56573060356,15.788100208768268,460793.194750788,25599.621930599336,29186.107806363965,651,0.0,23,1
117,jax_0.1.73,jax/lax/lax_parallel.py,935,471,519,17,168,119,238,185,357,1311.3961953280875,12.041666666666666,32376.46747607706,1798.6926375598368,2688.7031814043235,81,35.92434240795377,6,1
