Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index,Bug Occurence,Buggy
yolov5_7.0,utils/dataloaders.py,1220,868,932,22,432,372,704,454,1076,3880.21889654464,17.9259259259259,170249.082496493,9458.28236091628,9497.36617232503,290,0,1,1
yolov5_7.0,utils/metrics.py,363,233,220,17,238,175,331,255,506,1948.45349596855,11.8214285714286,47819.3671330622,2656.63150739235,4045.14283905058,43,46.4603150118328,2,1
yolov5_7.0,utils/plots.py,575,453,441,21,211,161,311,232,472,1721.39059469557,15.4763033175355,57401.0987463794,3188.94993035441,3708.96702970021,111,29.4374195876852,6,1
yolov5_7.0,utils/general.py,1140,837,804,21,504,315,606,525,921,4616.78774732231,12.625,105069.238201667,5837.17990009262,8322.31589716176,223,7.67758234584795,15,1
yolov5_7.0,utils/segment/augmentations.py,104,61,62,8,55,40,74,63,114,341.974784243856,5.38181818181818,3667.22424979238,203.734680544021,681.409911278991,8,69.3020315389172,0,0
yolov5_7.0,utils/segment/loss.py,186,144,143,13,87,65,123,100,188,608.641800474674,9.18965517241379,11478.2925110377,637.682917279872,1249.04496367765,22,57.4219463197293,0,0
yolov5_7.0,utils/segment/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_7.0,utils/segment/dataloaders.py,331,174,249,11,80,76,144,91,220,543.807995395999,9.9,14173.9767263528,787.443151464042,1431.71482084371,44,49.2530921049722,1,1
yolov5_7.0,utils/segment/metrics.py,210,88,132,2,10,5,10,12,15,35.2192809488736,1,53.7744375108174,2.98746875060096,53.7744375108174,25,70.3763805343993,0,0
yolov5_7.0,utils/segment/plots.py,143,127,118,13,79,72,141,92,213,546.104395441825,11.6012658227848,16120.1757654518,895.565320302878,1389.51869664014,35,53.8197040558379,0,0
yolov5_7.0,utils/segment/general.py,137,81,65,10,74,48,90,84,138,492.718830005416,6.08108108108108,5364.36367506164,298.020204170091,882.139804343469,11,61.9064641894478,1,1
yolov5_7.0,utils/flask_rest_api/example_request.py,19,10,8,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_7.0,utils/flask_rest_api/restapi.py,48,28,27,3,6,3,6,9,9,20.2646625064904,1.5,42.7939875194712,2.37744375108173,28.5293250129808,6,85.2828258712395,1,1
yolov5_7.0,utils/aws/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_7.0,utils/aws/resume.py,40,28,28,8,17,10,20,25,30,93.4868683012558,4.70588235294118,655.603226791726,36.4224014884292,139.315685693242,7,81.3492527884938,0,0
yolov5_7.0,utils/loggers/__init__.py,404,283,293,14,120,84,151,134,235,882.129840381829,8.80833333333333,14626.5102038647,812.583900214703,1660.53095975758,142,30.7867732325441,4,1
yolov5_7.0,utils/loggers/wandb/sweep.py,41,29,29,4,8,4,8,12,12,32,2,86.0391000173078,4.77995000096154,43.0195500086539,4,78.288801149902,1,1
yolov5_7.0,utils/loggers/wandb/wandb_utils.py,589,350,385,18,168,106,200,186,306,1316.96797705279,10.7142857142857,24717.6706735613,1373.20392630896,2306.98259619906,119,32.9650988641763,4,1
yolov5_7.0,utils/loggers/wandb/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
yolov5_7.0,utils/loggers/wandb/log_dataset.py,27,18,18,2,3,2,3,5,5,6.75488750216347,1,11.6096404744368,0.644980026357601,11.6096404744368,3,83.3859660505735,0,0
yolov5_7.0,utils/loggers/comet/hpo.py,118,92,94,6,18,13,23,24,36,90.5684250302886,3.83333333333333,632.72482509952,35.1513791721955,165.058650025962,9,53.8710872809285,0,0
yolov5_7.0,utils/loggers/comet/__init__.py,508,332,381,17,94,62,111,111,173,685.618220358954,10.0372340425532,11798.1056063078,655.450311461542,1175.43394487857,97,24.4243874106652,1,1
yolov5_7.0,utils/loggers/comet/comet_utils.py,150,90,89,2,10,5,10,12,15,35.2192809488736,1,53.7744375108174,2.98746875060096,53.7744375108174,16,69.4187278806649,0,0
yolov5_7.0,utils/loggers/clearml/hpo.py,84,11,70,1,2,1,2,3,3,2,0.5,2.37744375108173,0.13208020839343,4.75488750216347,1,100,1,1
yolov5_7.0,utils/loggers/clearml/clearml_utils.py,157,75,88,11,32,19,38,43,57,198.05374780501,6.53125,2020.09662571144,112.227590317302,309.29709101802,25,67.4211480474031,2,1
yolov5_7.0,utils/loggers/clearml/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
