Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
jax_0.2.21,jax/experimental/jax2tf/examples/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/experimental/jax2tf/examples/keras_reuse_main.py,79,33,42,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,3,90.49544489294601
jax_0.2.21,jax/experimental/jax2tf/examples/keras_reuse_main_test.py,50,25,28,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,4,93.09737313735253
jax_0.2.21,jax/experimental/jax2tf/examples/serving/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/experimental/jax2tf/examples/serving/model_server_request.py,127,56,78,7,18,11,22,25,33,94.71013448036484,4.277777777777778,655.5576987898653,36.41987215499252,153.24725426256592,6,74.5085914090044
jax_0.2.21,jax/experimental/jax2tf/examples/tflite/mnist/mnist.py,135,59,78,6,25,16,32,31,48,131.60617974869504,3.84,913.1574639305088,50.7309702183616,237.80142289857002,5,72.81256660618052
jax_0.2.21,jax/experimental/jax2tf/examples/tf_js/quickdraw/utils.py,75,51,49,7,15,9,17,22,26,78.25484338853101,3.966666666666667,459.91604760212664,25.55089153345148,115.94522208456974,8,74.68509813678746
jax_0.2.21,jax/experimental/jax2tf/examples/tf_js/quickdraw/quickdraw.py,164,109,116,8,22,16,25,30,41,122.10749561002054,4.545454545454546,914.4659746361331,50.80366525756295,201.18251441994926,9,63.10044465526242
jax_0.2.21,jax/lib/xla_bridge.py,28,1,13,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/lib/__init__.py,20,2,5,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/numpy/linalg.py,56,13,35,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,3,99.56102088486993
jax_0.2.21,jax/numpy/__init__.py,408,17,380,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,3,81.3962006947821
jax_0.2.21,jax/numpy/fft.py,52,12,31,1,2,1,2,3,3,2.0,0.5,2.3774437510817346,0.1320802083934297,4.754887502163469,3,100.0
jax_0.2.21,jax/_src/errors.py,572,35,35,0,0,0,0,0,0,0,0,0,0.0,0,7,100.0
jax_0.2.21,jax/_src/flatten_util.py,69,32,28,2,2,2,2,4,4,4.0,1.0,8.0,0.4444444444444444,8.0,5,85.81306157705899
jax_0.2.21,jax/_src/pprint_util.py,63,33,34,4,25,16,28,29,44,124.09640474436812,2.24,478.8026068797736,26.600144826654088,213.7511637856132,12,76.96983641272148
jax_0.2.21,jax/_src/random.py,1452,700,788,21,302,219,372,323,591,2580.2368971545275,12.933774834437086,63714.564644807186,3539.6980358226215,4926.215699624109,90,29.21229624302855
jax_0.2.21,jax/_src/traceback_util.py,196,118,117,10,43,26,48,53,74,266.54866540106383,5.5813953488372094,2365.7643551870333,131.4313530659463,423.8661136376768,24,62.09098376769652
jax_0.2.21,jax/_src/cloud_tpu_init.py,99,26,49,1,4,2,4,5,6,8.0,0.5,6.965784284662087,0.3869880158145604,13.931568569324174,3,89.19132218389696
jax_0.2.21,jax/_src/lax_reference.py,459,330,354,19,175,114,219,194,333,1384.672567326086,11.888571428571428,30087.251522861232,1671.5139734922907,2530.7709764483134,57,32.323810533564675
jax_0.2.21,jax/_src/dtypes.py,369,200,214,15,77,45,86,92,131,541.1459225676352,8.376623376623376,7158.55022697451,397.6972348319172,854.5866162434687,56,50.725571732922745
jax_0.2.21,jax/_src/api_util.py,318,216,227,13,74,47,89,87,136,507.60526539237657,7.8175675675675675,6850.06787134317,380.55932618573166,876.2403154354271,64,43.17249850952634
jax_0.2.21,jax/_src/__init__.py,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0
jax_0.2.21,jax/_src/util.py,447,323,309,14,89,60,107,103,167,629.6432442648158,8.415730337078651,9397.38815102987,522.0771195016595,1116.6455880395974,84,36.03153292754778
jax_0.2.21,jax/_src/config.py,605,251,392,10,45,29,55,55,84,280.35267028370896,6.111111111111111,2967.7646529426584,164.87581405236992,485.6342159360714,52,47.87718746431915
jax_0.2.21,jax/_src/custom_derivatives.py,1068,474,562,13,97,63,118,110,181,688.2972620279857,7.907216494845361,9705.523968551423,539.1957760306345,1227.4261081479635,98,36.0193878535627
jax_0.2.21,jax/_src/prng.py,488,296,316,18,141,85,157,159,242,1081.7353907141915,10.02127659574468,17734.830319345136,985.2683510747297,1769.717675178814,68,38.956182282831485
jax_0.2.21,jax/_src/tree_util.py,320,111,121,7,15,8,15,22,23,78.25484338853101,3.5,358.9842453003024,19.943569183350135,102.56692722865783,14,63.25293110820811
jax_0.2.21,jax/_src/dlpack.py,65,23,26,1,2,2,2,3,4,2.0,0.5,3.1699250014423126,0.17610694452457293,6.339850002884625,4,87.33015205921234
jax_0.2.21,jax/_src/abstract_arrays.py,69,34,41,0,0,0,0,0,0,0,0,0,0.0,0,3,100.0
jax_0.2.21,jax/_src/profiler.py,258,75,73,3,7,4,8,10,12,24.406371956566698,1.7142857142857142,68.33680652339717,3.796489251299843,39.863137138648355,9,60.88158970777727
jax_0.2.21,jax/_src/source_info_util.py,106,64,66,4,12,7,13,16,20,51.01955000865388,2.1666666666666665,173.33333333333331,9.629629629629628,80.0,17,71.20090766806535
jax_0.2.21,jax/_src/ad_util.py,90,64,55,2,4,3,4,6,7,10.0,1.0,18.094737505048094,1.0052631947248942,18.094737505048094,6,75.70809255106023
jax_0.2.21,jax/_src/api.py,2807,928,1229,16,233,160,281,249,441,1896.3553717044472,9.648068669527897,33868.2025553239,1881.5668086291055,3510.3608520420235,129,18.768324727364686
